tour,player_name,ras_slow,ras_medium,ras_fast,n_slow,n_medium,n_fast,body_return_pts,cluster,PC1,PC2
WTA,Naomi Osaka,0.9217391304347826,0.9296116504854369,0.9496567505720824,345,412,437,1194,4,-0.3470199630664179,-1.0869423236929137
WTA,Natalia Vikhlyantseva,1.0,0.9333333333333333,0.9056603773584906,14,45,53,112,3,0.43256078628200434,1.0063896623005313
WTA,Nicole Gibbs,0.9666666666666667,0.9459459459459459,0.8,30,37,25,92,5,-0.8895867419784872,1.4488749342197982
WTA,Nina Stojanovic,1.0,0.9444444444444444,0.875,19,18,24,61,3,0.2951259772540647,1.32264146000288
WTA,Nuria Parrizas Diaz,0.96875,1.0,1.0,32,15,20,67,1,1.8093831696714153,-0.7796912849422521
WTA,Oceane Dodin,0.96,0.9272727272727272,0.8717948717948718,75,55,78,208,6,-0.5627023886904925,0.5582721434774621
WTA,Ons Jabeur,0.9869848156182213,0.9758771929824561,0.9744897959183674,461,456,588,1505,1,1.4952412747476684,-0.08420410584984266
WTA,Panna Udvardy,1.0,0.9629629629629629,1.0,17,27,28,72,1,1.7491142044097652,-0.07197199824888612
WTA,Patricia Maria Tig,1.0,0.9411764705882353,1.0,25,17,25,67,1,1.4440248642169256,-0.03603109281168837
WTA,Paula Badosa,0.9913793103448276,0.9382022471910112,0.9447513812154696,232,178,181,591,3,0.7478970379444501,0.39339866300811316
WTA,Pauline Parmentier,0.9516129032258065,0.8690476190476191,0.9135802469135802,62,84,81,227,4,-1.1017323203513538,0.02479768011412816
WTA,Petra Kvitova,0.95625,0.9385245901639344,0.9439579684763573,320,488,571,1379,4,0.22954249848889297,-0.32536476318870244
WTA,Petra Martic,0.9648562300319489,0.9724770642201835,0.9258064516129032,313,218,310,841,3,0.6577582884830262,-0.005218471607659821
WTA,Peyton Stearns,0.971830985915493,1.0,0.9827586206896551,71,94,58,223,1,1.689794846001074,-0.5277933265627762
WTA,Polona Hercog,0.8571428571428571,0.8913043478260869,0.8970588235294118,21,46,68,135,2,-2.333668706478994,-1.7863870935580264
WTA,Qiang Wang,0.9533678756476683,0.9602272727272727,0.9497206703910615,193,176,179,548,1,0.5462583309764255,-0.48368938073104784
WTA,Qinwen Zheng,0.9814814814814815,0.9637305699481865,0.9512195121951219,162,193,164,519,1,1.022019473920087,0.07589715452031404
WTA,Rebecca Marino,1.0,1.0,0.8936170212765957,66,52,47,165,3,1.2510322206169242,1.0278337294271531
WTA,Rebecca Peterson,0.9508196721311475,1.0,0.98,61,42,50,153,1,1.3552306141285275,-0.9324524252656021
WTA,Rebeka Masarova,0.9901960784313726,0.9787234042553191,0.9841269841269841,102,47,63,212,1,1.6743075795770874,-0.1276184627699858
WTA,Renata Zarazua,1.0,1.0,1.0,28,32,26,86,1,2.2677660827375945,-0.13307153749212242
WTA,Roberta Vinci,0.8888888888888888,1.0,0.8571428571428571,27,21,14,62,6,-0.7273681595200692,-0.8732340430073354
WTA,Sachia Vickery,0.9558823529411765,0.9272727272727272,0.9787234042553191,68,55,47,170,4,0.3988468035142638,-0.6937881446254742
WTA,Saisai Zheng,0.9206349206349206,1.0,0.9076923076923077,63,40,65,168,6,0.22140685080220315,-0.767971849839811
WTA,Samantha Stosur,0.9285714285714286,0.864406779661017,0.9705882352941176,56,59,34,149,4,-0.9598566161923249,-1.0664169208783252
WTA,Sara Errani,0.9732142857142857,0.9777777777777777,0.9558823529411765,112,90,68,270,1,1.1420298025610207,-0.1692230687146437
WTA,Sara Sorribes Tormo,0.9833333333333333,0.9705882352941176,0.9504132231404959,240,136,121,497,1,1.1375089681317236,0.11170099354339931
WTA,Serena Williams,0.9439252336448598,0.8960573476702509,0.9069423929098966,428,558,677,1663,4,-0.8997035001852403,-0.106396255060272
WTA,Shelby Rogers,0.952755905511811,0.923728813559322,0.9,254,236,170,660,6,-0.449023329632511,0.10643617854981559
WTA,Shuai Peng,0.9772727272727273,0.9166666666666666,0.9661016949152542,44,48,59,151,4,0.4434537514864349,-0.09595090485363093
WTA,Shuai Zhang,0.9680365296803652,0.9537037037037037,0.988,219,216,250,685,1,1.0359153788024047,-0.5871297547123651
